Days_Left,Task_Type,Estimated_Duration,Deadline_Time,Task_Importance,Past_Completion_Rate,Number_Of_Overdue_Tasks,Priority_Level
22,Student,1,02:10 AM,4,71,1,Medium
9,Work,1,09:04 AM,3,59,0,Medium
21,Work,2,07:28 PM,5,80,3,Medium
12,Personal,4,01:14 PM,4,64,4,Medium
7,Student,1,05:44 PM,5,96,3,High
11,Work,1,11:14 PM,2,76,2,Medium
18,Student,4,10:42 AM,4,75,2,Medium
26,Personal,1,02:34 AM,4,60,5,Medium
9,Student,4,03:58 PM,2,95,2,Medium
11,Work,2,02:03 AM,5,89,5,High
17,Personal,1,10:47 PM,1,96,3,Low
10,Personal,4,02:29 PM,4,85,3,Medium
4,Student,4,07:17 PM,5,57,1,High
16,Personal,4,02:38 AM,2,58,5,Medium
18,Personal,1,12:20 PM,1,71,2,Low
22,Work,1,02:14 AM,5,70,1,Medium
13,Student,4,05:36 AM,1,50,5,Medium
22,Work,3,08:33 PM,5,96,0,Medium
20,Personal,1,03:37 PM,2,75,0,Low
2,Student,3,08:05 PM,4,74,1,Medium
10,Personal,2,07:21 PM,2,56,1,Medium
26,Student,2,02:54 AM,3,66,2,Low
26,Personal,4,07:44 PM,3,100,5,Medium
23,Personal,1,11:25 AM,4,55,4,Medium
23,Personal,1,02:20 PM,1,78,2,Low
21,Personal,2,02:49 PM,4,99,4,Medium
16,Student,3,01:42 PM,1,69,0,Low
16,Personal,4,01:12 PM,4,89,0,Medium
6,Student,1,08:40 PM,5,79,2,High
26,Work,4,04:17 AM,3,81,5,Medium
28,Personal,1,08:56 PM,5,78,5,Medium
15,Work,4,01:40 AM,3,67,0,Medium
13,Student,3,03:19 AM,2,51,5,Medium
27,Student,1,07:05 AM,2,79,5,Low
18,Work,3,08:07 AM,4,50,4,Medium
22,Personal,3,12:18 PM,3,81,1,Low
9,Personal,3,08:30 AM,2,82,3,Medium
17,Personal,3,09:09 PM,5,57,0,Medium
24,Work,3,10:32 AM,3,73,2,Low
30,Work,1,05:49 PM,1,96,4,Low
2,Personal,3,09:17 AM,1,77,1,Medium
2,Personal,4,12:19 PM,3,65,3,High
19,Work,1,08:34 PM,5,63,1,Medium
6,Personal,2,06:35 PM,1,72,4,Medium
18,Personal,4,06:55 AM,5,68,3,Medium
28,Student,4,04:36 PM,2,51,0,Low
14,Work,1,07:02 PM,4,60,1,Medium
30,Student,2,08:45 PM,3,72,3,Low
19,Personal,1,11:50 AM,5,87,5,Medium
8,Personal,2,01:08 PM,5,93,2,Medium
19,Work,2,08:06 PM,4,73,0,Medium
9,Work,2,12:09 PM,3,95,0,Medium
17,Student,3,03:04 PM,1,63,0,Low
7,Personal,2,06:39 PM,5,74,0,Medium
21,Student,2,02:54 PM,3,95,3,Medium
25,Student,2,09:24 PM,5,94,1,Medium
22,Student,1,12:56 PM,3,55,1,Low
20,Student,2,01:39 AM,4,90,5,Medium
1,Work,1,11:43 PM,5,74,5,High
25,Work,4,12:05 PM,5,91,5,Medium
20,Work,3,11:45 AM,1,80,5,Medium
26,Personal,4,03:44 PM,2,61,4,Low
24,Work,1,01:20 AM,2,94,0,Low
25,Personal,1,06:23 PM,4,95,1,Low
27,Work,2,04:33 PM,3,50,2,Low
20,Student,4,11:50 AM,3,75,4,Medium
20,Work,3,03:05 PM,3,85,0,Low
26,Student,3,11:15 PM,3,83,5,Medium
21,Student,1,03:14 PM,1,85,3,Low
18,Student,3,05:29 PM,4,92,0,Medium
29,Student,3,01:57 PM,5,92,1,Low
8,Personal,2,11:34 AM,2,58,0,Medium
7,Work,1,08:22 PM,1,74,4,Medium
10,Student,4,07:44 PM,2,74,2,Medium
2,Personal,2,05:12 PM,5,93,3,High
18,Personal,2,02:15 PM,2,61,2,Low
4,Student,4,06:36 PM,3,98,4,Medium
16,Student,2,05:01 PM,1,98,3,Low
29,Personal,4,01:36 AM,3,57,4,Low
16,Student,3,12:31 PM,5,65,5,High
7,Work,1,10:51 PM,2,74,3,Medium
14,Work,3,11:12 PM,2,90,4,Medium
25,Student,3,12:49 AM,2,65,0,Low
22,Student,2,02:57 AM,5,71,1,Medium
6,Personal,2,08:02 PM,5,56,0,Medium
18,Student,4,03:05 PM,2,72,4,Medium
17,Personal,3,12:26 AM,4,88,2,Medium
17,Work,3,03:50 PM,2,88,0,Low
13,Student,3,09:58 PM,3,93,3,Medium
12,Work,2,05:58 PM,3,86,2,Medium
7,Personal,2,12:55 PM,4,88,0,Medium
3,Work,1,08:04 AM,1,62,1,Medium
0,Work,4,11:46 PM,5,91,3,High
29,Student,2,06:05 PM,3,91,1,Low
29,Work,3,05:34 AM,5,62,1,Low
2,Personal,3,06:43 PM,4,78,5,High
16,Student,1,07:52 PM,5,93,0,Medium
15,Work,4,11:14 PM,4,96,0,Medium
9,Work,2,10:56 PM,1,88,3,Medium
4,Student,1,04:41 AM,1,52,4,Medium
13,Student,4,08:58 PM,2,53,1,Medium
29,Student,1,07:07 AM,1,97,0,Low
20,Work,2,01:19 PM,1,64,0,Low
24,Work,4,02:15 AM,4,61,2,Medium
25,Personal,1,08:23 PM,5,86,2,Medium
27,Student,2,12:46 AM,3,62,1,Low
24,Personal,3,11:06 PM,4,53,2,Medium
7,Student,4,07:17 AM,5,100,4,High
13,Student,2,06:13 PM,3,83,0,Medium
25,Personal,1,04:54 PM,1,52,5,Low
4,Work,1,11:23 PM,1,58,2,Medium
19,Work,2,07:17 AM,1,91,2,Low
17,Work,2,08:05 AM,1,73,2,Low
2,Student,2,11:38 AM,5,96,0,Medium
8,Work,4,06:15 AM,5,83,2,Medium
8,Student,4,04:04 AM,3,77,4,Medium
8,Student,3,04:52 AM,1,83,3,Medium
9,Personal,1,03:50 AM,1,54,2,Medium
26,Personal,2,03:08 PM,4,64,5,Medium
7,Work,3,02:42 AM,5,97,1,Medium
17,Work,2,01:22 AM,5,97,4,Medium
27,Student,1,06:01 AM,5,66,1,Medium
7,Personal,1,01:08 PM,5,100,1,Medium
2,Student,4,02:47 AM,2,89,2,Medium
12,Personal,1,08:49 PM,1,55,2,Medium
15,Student,4,10:06 PM,4,82,2,Medium
26,Student,4,04:39 AM,1,62,2,Low
12,Student,1,11:33 PM,5,91,3,Medium
30,Personal,3,11:01 AM,4,56,4,Medium
10,Personal,1,07:27 AM,2,100,1,Medium
9,Personal,4,12:58 PM,3,79,1,Medium
3,Work,2,02:20 AM,5,78,3,High
6,Work,2,03:17 PM,5,95,2,High
16,Personal,1,10:33 PM,1,89,1,Low
27,Personal,4,09:38 PM,5,84,5,Medium
18,Work,2,12:07 AM,2,90,1,Low
30,Personal,4,08:56 AM,4,64,5,Medium
4,Personal,1,06:52 PM,4,69,3,High
17,Personal,4,07:46 AM,3,66,3,Medium
21,Personal,1,07:20 PM,2,50,5,Medium
25,Personal,4,03:43 PM,3,67,1,Low
13,Work,4,02:53 AM,5,61,3,Medium
26,Work,3,07:06 PM,4,61,4,Medium
10,Work,1,09:03 PM,3,60,1,Medium
22,Student,2,02:26 PM,2,95,1,Low
28,Student,4,07:55 AM,1,84,4,Low
8,Personal,3,10:19 PM,5,78,2,Medium
19,Work,4,10:32 AM,2,96,5,Medium
19,Work,2,11:30 AM,3,76,2,Medium
16,Work,2,06:54 PM,4,77,4,Medium
20,Work,3,05:36 AM,5,69,5,Medium
18,Personal,1,09:49 AM,5,52,2,Medium
0,Student,2,11:53 PM,4,87,1,Medium
28,Work,3,03:17 PM,1,74,3,Low
17,Personal,3,06:00 AM,4,65,2,Medium
7,Work,4,10:42 PM,1,66,4,Medium
20,Work,4,03:47 AM,3,95,1,Low
19,Work,3,12:33 AM,3,78,3,Medium
20,Personal,4,07:29 PM,4,52,3,Medium
13,Work,3,06:19 PM,1,79,5,Medium
6,Student,1,10:05 AM,4,69,3,High
8,Work,2,03:48 AM,1,71,5,Medium
20,Student,1,02:17 PM,2,73,2,Low
12,Student,1,07:31 PM,5,67,5,High
17,Personal,2,05:13 AM,3,94,0,Low
0,Personal,4,07:07 PM,1,57,2,Medium
21,Student,3,11:37 PM,1,66,3,Low
24,Student,2,11:19 AM,4,69,0,Low
9,Work,4,07:38 AM,2,82,1,Medium
0,Work,1,04:19 AM,1,62,5,Medium
0,Work,1,05:18 PM,4,75,5,High
6,Work,2,01:31 PM,2,95,1,Medium
17,Work,3,03:24 AM,2,91,3,Medium
16,Student,4,09:53 PM,3,52,2,Medium
5,Work,1,07:55 AM,1,88,0,Medium
17,Personal,4,01:29 AM,2,77,5,Medium
19,Personal,2,10:27 PM,3,56,2,Medium
19,Student,4,11:26 PM,4,55,1,Medium
21,Work,2,07:01 PM,3,90,3,Medium
9,Work,2,10:29 PM,3,67,5,Medium
11,Work,3,07:54 AM,4,62,0,Medium
12,Work,3,07:37 PM,2,68,5,Medium
3,Student,1,02:25 PM,5,81,2,High
11,Student,2,06:14 PM,2,68,5,Medium
4,Work,4,02:32 AM,1,52,3,Medium
9,Student,3,09:12 PM,3,78,5,Medium
30,Personal,3,12:52 AM,1,56,3,Low
16,Work,2,02:09 PM,5,80,1,Medium
28,Work,4,03:38 AM,4,86,3,Medium
27,Student,4,02:11 PM,4,73,1,Low
16,Personal,3,10:48 PM,1,85,1,Low
20,Student,2,10:41 PM,4,51,1,Medium
3,Student,2,06:09 PM,2,100,2,Medium
25,Work,2,08:28 PM,5,61,2,Medium
12,Personal,2,10:03 PM,5,64,0,Medium
2,Student,2,02:19 PM,4,97,5,High
22,Personal,2,01:03 PM,4,63,5,Medium
1,Personal,3,02:41 AM,5,54,5,High
12,Student,1,10:32 PM,4,96,5,Medium
23,Personal,3,10:35 AM,1,69,1,Low
6,Personal,2,10:41 AM,1,74,0,Medium
27,Personal,2,10:30 AM,3,86,4,Low
30,Work,1,08:06 PM,4,85,4,Medium
22,Student,3,02:32 AM,3,59,2,Medium
21,Work,2,04:45 PM,2,78,1,Low
11,Personal,2,09:33 AM,1,50,4,Medium
19,Personal,4,06:58 PM,3,61,0,Low
24,Personal,4,07:49 PM,4,77,0,Low
10,Student,1,10:03 PM,5,61,4,High
16,Work,1,06:06 PM,4,77,5,Medium
11,Personal,3,05:46 AM,5,69,1,Medium
13,Personal,2,02:37 AM,1,86,3,Medium
25,Personal,1,05:41 PM,1,84,5,Low
4,Work,1,10:45 AM,3,54,0,Medium
16,Personal,3,09:24 PM,4,91,3,Medium
20,Work,2,11:44 AM,3,92,5,Medium
1,Student,1,11:27 PM,2,78,0,Medium
6,Work,3,06:19 AM,3,99,3,Medium
5,Work,4,06:49 PM,5,65,1,High
9,Work,4,04:08 AM,2,70,0,Medium
22,Work,4,05:54 AM,5,81,5,Medium
4,Student,3,09:53 AM,2,50,1,Medium
10,Student,2,06:56 AM,2,67,0,Medium
25,Student,4,07:09 AM,1,61,2,Low
7,Work,1,12:49 AM,4,82,0,Medium
18,Student,3,08:02 PM,5,97,4,Medium
8,Personal,2,11:46 AM,4,51,1,Medium
5,Personal,3,10:18 PM,1,82,0,Medium
24,Work,4,09:15 PM,5,58,4,Medium
12,Personal,3,04:23 PM,1,60,3,Medium
1,Personal,1,05:49 PM,4,87,2,High
5,Student,2,09:26 AM,2,62,0,Medium
22,Work,3,10:08 PM,5,60,0,Medium
23,Work,2,11:30 PM,1,70,0,Low
11,Student,2,02:45 AM,5,68,3,High
28,Personal,1,02:48 AM,1,98,0,Low
2,Personal,4,08:57 AM,2,60,2,Medium
7,Personal,2,02:58 AM,2,51,5,Medium
8,Personal,3,06:59 AM,5,75,1,Medium
5,Personal,4,01:25 PM,5,78,1,Medium
24,Work,4,07:05 PM,5,83,4,Medium
14,Work,4,01:20 AM,4,64,2,Medium
15,Student,3,11:21 AM,2,93,2,Medium
10,Work,1,01:18 PM,5,72,2,Medium
22,Student,4,03:48 PM,5,64,0,Medium
3,Personal,3,10:00 AM,3,64,3,Medium
20,Work,1,05:13 AM,3,83,5,Medium
28,Student,4,12:38 PM,5,95,2,Medium
28,Work,3,05:15 PM,4,84,1,Low
3,Work,2,01:15 PM,2,51,0,Medium
12,Student,4,10:29 AM,2,74,5,Medium
10,Work,3,08:38 AM,4,59,4,High
30,Student,3,09:36 AM,1,91,4,Low
9,Student,4,03:18 PM,4,69,3,Medium
21,Work,3,10:22 AM,1,93,4,Low
9,Student,3,07:11 AM,3,62,5,Medium
21,Student,1,06:04 AM,4,58,1,Medium
8,Personal,3,08:02 PM,2,73,1,Medium
24,Personal,1,05:47 AM,2,57,0,Low
25,Personal,3,02:22 AM,5,53,1,Medium
23,Student,3,11:40 AM,4,88,1,Low
24,Student,2,12:48 PM,3,85,1,Low
0,Work,3,01:22 PM,2,54,0,Medium
2,Student,4,03:53 PM,2,82,4,Medium
16,Student,2,08:40 AM,5,64,2,Medium
27,Work,3,02:45 PM,3,59,0,Low
13,Work,1,05:12 AM,5,74,1,Medium
2,Work,3,01:20 PM,5,67,2,High
9,Student,2,07:52 PM,5,88,0,Medium
16,Personal,3,01:48 AM,4,95,2,Medium
3,Personal,2,06:55 AM,2,81,4,Medium
13,Student,4,06:17 AM,5,82,3,Medium
2,Personal,1,07:56 PM,1,55,0,Medium
6,Student,4,08:57 PM,5,98,3,High
1,Personal,4,03:31 PM,5,93,2,High
20,Personal,4,09:17 AM,2,52,5,Medium
11,Student,1,07:05 PM,2,52,5,Medium
5,Student,2,03:34 PM,4,51,5,High
16,Personal,3,02:05 PM,2,72,5,Medium
19,Student,4,05:19 PM,4,85,4,Medium
12,Student,1,12:27 AM,1,65,1,Low
29,Student,2,08:22 PM,1,65,3,Low
16,Work,4,12:55 PM,4,57,3,Medium
2,Student,4,07:17 AM,5,72,3,High
18,Work,4,11:40 PM,5,69,3,Medium
0,Personal,1,09:51 AM,5,69,5,High
21,Work,2,03:54 PM,1,65,3,Low
5,Work,4,03:04 AM,2,63,3,Medium
0,Student,3,06:23 PM,2,94,1,Medium
8,Student,1,01:38 AM,2,76,0,Medium
8,Student,1,08:23 PM,3,52,3,Medium
29,Personal,3,02:36 AM,2,53,1,Low
22,Student,2,06:25 PM,3,71,2,Low
14,Student,2,05:15 AM,4,86,3,Medium
9,Work,4,12:11 PM,1,91,5,Medium
17,Student,1,07:58 AM,3,79,1,Medium
29,Personal,2,05:45 PM,3,65,3,Low
13,Work,1,10:18 PM,5,84,1,Medium
26,Work,2,02:08 AM,3,67,5,Medium
19,Personal,2,03:57 PM,2,74,1,Low
24,Work,1,11:54 PM,1,85,5,Low
0,Student,2,06:45 AM,5,52,2,High
8,Student,2,09:18 PM,1,62,4,Medium
1,Work,4,12:45 AM,5,83,3,High
24,Personal,3,09:14 AM,4,94,3,Medium
11,Work,4,03:15 PM,4,62,5,High
19,Work,2,06:35 PM,5,55,4,Medium
10,Personal,2,09:08 AM,2,72,2,Medium
30,Work,3,05:25 PM,5,68,1,Low
9,Student,1,07:49 PM,2,60,1,Medium
28,Student,3,02:08 PM,1,72,2,Low
8,Student,3,02:28 PM,5,58,3,High
29,Student,2,09:22 AM,3,56,3,Low
0,Student,4,11:37 AM,4,88,0,Medium
4,Work,3,07:32 AM,4,78,3,High
3,Work,4,09:09 PM,2,86,3,Medium
30,Work,2,03:20 AM,5,84,2,Low
27,Personal,2,09:57 PM,5,71,4,Medium
29,Work,3,05:12 PM,2,76,4,Low
21,Work,2,11:19 AM,5,59,1,Medium
23,Student,3,11:10 AM,5,50,4,Medium
20,Work,2,11:39 PM,2,94,4,Medium
20,Student,2,01:52 AM,5,94,3,Medium
16,Work,3,01:41 PM,1,60,4,Medium
19,Student,4,04:49 PM,5,75,5,Medium
3,Student,2,11:01 PM,4,97,3,High
17,Student,4,09:18 PM,3,90,4,Medium
19,Personal,1,04:51 PM,2,70,1,Low
12,Personal,1,08:04 AM,1,66,0,Low
8,Work,1,08:26 PM,2,97,4,Medium
0,Personal,2,04:21 AM,2,89,4,Medium
27,Personal,3,12:20 PM,2,57,2,Low
21,Personal,4,03:48 PM,1,64,0,Low
27,Student,3,09:06 PM,5,68,4,Medium
11,Work,1,08:07 PM,5,57,4,High
7,Personal,1,04:09 AM,3,50,4,Medium
18,Work,4,05:24 PM,3,73,0,Low
4,Work,4,03:52 PM,5,89,1,Medium
30,Student,2,12:20 AM,4,60,3,Medium
14,Work,3,08:32 PM,3,77,2,Medium
